"ISO3","Version","Gas","Year","Category","CFluxes_yr"
"AFG","V1.0 (NGHGI 2023)","CO2",2000,"LULUCF",10.546
"AFG","V1.0 (NGHGI 2023)","CO2",2000,"FOREST",4.034
"AFG","V1.0 (NGHGI 2023)","CO2",2000,"DEFORESTATION",6.512
"AFG","V1.0 (NGHGI 2023)","CO2",2001,"LULUCF",10.546
"AFG","V1.0 (NGHGI 2023)","CO2",2001,"FOREST",4.034
"AFG","V1.0 (NGHGI 2023)","CO2",2001,"DEFORESTATION",6.512
"AFG","V1.0 (NGHGI 2023)","CO2",2002,"LULUCF",10.546
"AFG","V1.0 (NGHGI 2023)","CO2",2002,"FOREST",4.034
"AFG","V1.0 (NGHGI 2023)","CO2",2002,"DEFORESTATION",6.512
"AFG","V1.0 (NGHGI 2023)","CO2",2003,"LULUCF",10.546
"AFG","V1.0 (NGHGI 2023)","CO2",2003,"FOREST",4.034
"AFG","V1.0 (NGHGI 2023)","CO2",2003,"DEFORESTATION",6.512
"AFG","V1.0 (NGHGI 2023)","CO2",2004,"LULUCF",10.546
"AFG","V1.0 (NGHGI 2023)","CO2",2004,"FOREST",4.034
"AFG","V1.0 (NGHGI 2023)","CO2",2004,"DEFORESTATION",6.512
"AFG","V1.0 (NGHGI 2023)","CO2",2005,"LULUCF",10.546
"AFG","V1.0 (NGHGI 2023)","CO2",2005,"FOREST",4.034
"AFG","V1.0 (NGHGI 2023)","CO2",2005,"DEFORESTATION",6.512
"AFG","V1.0 (NGHGI 2023)","CO2",2006,"LULUCF",10.546
"AFG","V1.0 (NGHGI 2023)","CO2",2006,"FOREST",4.034
"AFG","V1.0 (NGHGI 2023)","CO2",2006,"DEFORESTATION",6.512
"AFG","V1.0 (NGHGI 2023)","CO2",2007,"LULUCF",10.546
"AFG","V1.0 (NGHGI 2023)","CO2",2007,"FOREST",4.034
"AFG","V1.0 (NGHGI 2023)","CO2",2007,"DEFORESTATION",6.512
"AFG","V1.0 (NGHGI 2023)","CO2",2008,"LULUCF",10.546
"AFG","V1.0 (NGHGI 2023)","CO2",2008,"FOREST",4.034
"AFG","V1.0 (NGHGI 2023)","CO2",2008,"DEFORESTATION",6.512
"AFG","V1.0 (NGHGI 2023)","CO2",2009,"LULUCF",10.546
"AFG","V1.0 (NGHGI 2023)","CO2",2009,"FOREST",4.034
"AFG","V1.0 (NGHGI 2023)","CO2",2009,"DEFORESTATION",6.512
"AFG","V1.0 (NGHGI 2023)","CO2",2010,"LULUCF",10.546
"AFG","V1.0 (NGHGI 2023)","CO2",2010,"FOREST",4.034
"AFG","V1.0 (NGHGI 2023)","CO2",2010,"DEFORESTATION",6.512
"AFG","V1.0 (NGHGI 2023)","CO2",2011,"LULUCF",10.546
"AFG","V1.0 (NGHGI 2023)","CO2",2011,"FOREST",4.034
"AFG","V1.0 (NGHGI 2023)","CO2",2011,"DEFORESTATION",6.512
"AFG","V1.0 (NGHGI 2023)","CO2",2012,"LULUCF",10.546
"AFG","V1.0 (NGHGI 2023)","CO2",2012,"FOREST",4.034
"AFG","V1.0 (NGHGI 2023)","CO2",2012,"DEFORESTATION",6.512
"AFG","V1.0 (NGHGI 2023)","CO2",2013,"LULUCF",10.546
"AFG","V1.0 (NGHGI 2023)","CO2",2013,"FOREST",4.034
"AFG","V1.0 (NGHGI 2023)","CO2",2013,"DEFORESTATION",6.512
"AFG","V1.0 (NGHGI 2023)","CO2",2014,"LULUCF",10.546
"AFG","V1.0 (NGHGI 2023)","CO2",2014,"FOREST",4.034
"AFG","V1.0 (NGHGI 2023)","CO2",2014,"DEFORESTATION",6.512
"AFG","V1.0 (NGHGI 2023)","CO2",2015,"LULUCF",10.546
"AFG","V1.0 (NGHGI 2023)","CO2",2015,"FOREST",4.034
"AFG","V1.0 (NGHGI 2023)","CO2",2015,"DEFORESTATION",6.512
"AFG","V1.0 (NGHGI 2023)","CO2",2016,"LULUCF",10.546
"AFG","V1.0 (NGHGI 2023)","CO2",2016,"FOREST",4.034
"AFG","V1.0 (NGHGI 2023)","CO2",2016,"DEFORESTATION",6.512
"AFG","V1.0 (NGHGI 2023)","CO2",2017,"LULUCF",10.546
"AFG","V1.0 (NGHGI 2023)","CO2",2017,"FOREST",4.034
"AFG","V1.0 (NGHGI 2023)","CO2",2017,"DEFORESTATION",6.512
"AFG","V1.0 (NGHGI 2023)","CO2",2018,"LULUCF",10.546
"AFG","V1.0 (NGHGI 2023)","CO2",2018,"FOREST",4.034
"AFG","V1.0 (NGHGI 2023)","CO2",2018,"DEFORESTATION",6.512
"AFG","V1.0 (NGHGI 2023)","CO2",2019,"LULUCF",10.546
"AFG","V1.0 (NGHGI 2023)","CO2",2019,"FOREST",4.034
"AFG","V1.0 (NGHGI 2023)","CO2",2019,"DEFORESTATION",6.512
"AFG","V1.0 (NGHGI 2023)","CO2",2020,"LULUCF",10.546
"AFG","V1.0 (NGHGI 2023)","CO2",2020,"FOREST",4.034
"AFG","V1.0 (NGHGI 2023)","CO2",2020,"DEFORESTATION",6.512
"AFG","V1.0 (NGHGI 2023)","CO2",2021,"LULUCF",10.546
"AFG","V1.0 (NGHGI 2023)","CO2",2021,"FOREST",4.034
"AFG","V1.0 (NGHGI 2023)","CO2",2021,"DEFORESTATION",6.512
"AFG","V1.0 (NGHGI 2023)","CO2",2022,"LULUCF",10.546
"AFG","V1.0 (NGHGI 2023)","CO2",2022,"FOREST",4.034
"AFG","V1.0 (NGHGI 2023)","CO2",2022,"DEFORESTATION",6.512
"ALB","V1.0 (NGHGI 2023)","CO2",2000,"LULUCF",5.83754
"ALB","V1.0 (NGHGI 2023)","CO2",2000,"FOREST",2.1638
"ALB","V1.0 (NGHGI 2023)","CO2",2000,"DEFORESTATION",3.67374
"ALB","V1.0 (NGHGI 2023)","CO2",2000,"OTHER",0
"ALB","V1.0 (NGHGI 2023)","CO2",2001,"LULUCF",5.83754
"ALB","V1.0 (NGHGI 2023)","CO2",2001,"FOREST",2.1638
"ALB","V1.0 (NGHGI 2023)","CO2",2001,"DEFORESTATION",3.67374
"ALB","V1.0 (NGHGI 2023)","CO2",2001,"OTHER",0
"ALB","V1.0 (NGHGI 2023)","CO2",2002,"LULUCF",5.83754
"ALB","V1.0 (NGHGI 2023)","CO2",2002,"FOREST",2.1638
"ALB","V1.0 (NGHGI 2023)","CO2",2002,"DEFORESTATION",3.67374
"ALB","V1.0 (NGHGI 2023)","CO2",2002,"OTHER",0
"ALB","V1.0 (NGHGI 2023)","CO2",2003,"LULUCF",5.83754
"ALB","V1.0 (NGHGI 2023)","CO2",2003,"FOREST",2.1638
"ALB","V1.0 (NGHGI 2023)","CO2",2003,"DEFORESTATION",3.67374
"ALB","V1.0 (NGHGI 2023)","CO2",2003,"OTHER",0
"ALB","V1.0 (NGHGI 2023)","CO2",2004,"LULUCF",5.83754
"ALB","V1.0 (NGHGI 2023)","CO2",2004,"FOREST",2.1638
"ALB","V1.0 (NGHGI 2023)","CO2",2004,"DEFORESTATION",3.67374
"ALB","V1.0 (NGHGI 2023)","CO2",2004,"OTHER",0
"ALB","V1.0 (NGHGI 2023)","CO2",2005,"LULUCF",5.83754
"ALB","V1.0 (NGHGI 2023)","CO2",2005,"FOREST",2.1638
"ALB","V1.0 (NGHGI 2023)","CO2",2005,"DEFORESTATION",3.67374
"ALB","V1.0 (NGHGI 2023)","CO2",2005,"OTHER",0
"ALB","V1.0 (NGHGI 2023)","CO2",2006,"LULUCF",5.83754
"ALB","V1.0 (NGHGI 2023)","CO2",2006,"FOREST",2.1638
"ALB","V1.0 (NGHGI 2023)","CO2",2006,"DEFORESTATION",3.67374
"ALB","V1.0 (NGHGI 2023)","CO2",2006,"OTHER",0
"ALB","V1.0 (NGHGI 2023)","CO2",2007,"LULUCF",5.83754
"ALB","V1.0 (NGHGI 2023)","CO2",2007,"FOREST",2.1638
"ALB","V1.0 (NGHGI 2023)","CO2",2007,"DEFORESTATION",3.67374
"ALB","V1.0 (NGHGI 2023)","CO2",2007,"OTHER",0
"ALB","V1.0 (NGHGI 2023)","CO2",2008,"LULUCF",5.83754
"ALB","V1.0 (NGHGI 2023)","CO2",2008,"FOREST",2.1638
"ALB","V1.0 (NGHGI 2023)","CO2",2008,"DEFORESTATION",3.67374
"ALB","V1.0 (NGHGI 2023)","CO2",2008,"OTHER",0
"ALB","V1.0 (NGHGI 2023)","CO2",2009,"LULUCF",5.83754
"ALB","V1.0 (NGHGI 2023)","CO2",2009,"FOREST",2.1638
